CODE,LINE_NAME,DATE_TIME,DUR_H,N_METERS,P_KW,Q_KVAR,S_KVA,LOAD_PCT,DELTA_P_KW,OUTPUT_KWH,LOSS_NOLOAD_KWH,LOSS_LOAD_KWH,LOSS_KWH
03.ECOLAND.T1.400KVA,03.ECOLAND.T1.400KVA,2026-07-01 00:00:00,0.5,1,7.2,0.2,7.20278,1.80069,0.283767,3.6,0.141,0.00088363,0.141884
03.ECOLAND.T2.250kVA,03.ECOLAND.T2.250kVA,2026-07-01 00:00:00,0.5,1,39.96,-5.94,40.3991,16.1596,0.437005,19.98,0.1815,0.0370026,0.218503
03.ECOLAND.T5.1500kVA,03.ECOLAND.T5.1500kVA,2026-07-01 00:00:00,0.5,1,5.12,-0.32,5.12999,0.341999,1.23415,2.56,0.617,7.70731e-05,0.617077
03.GHN.T1.2000kVA,03.GHN.T1.2000kVA,2026-07-01 00:00:00,0.5,1,714.5,56,716.691,35.8346,3.97483,357.25,0.925,1.06241,1.98741
03.IP.T1.560kVA,03.IP.T1.560kVA,2026-07-01 00:00:00,0.5,1,46.72,7.36,47.2962,8.44575,0.573622,23.36,0.27008,0.016731,0.286811
03.LOGOS.T2.2500kVA,03.LOGOS.T2.2500kVA,2026-07-01 00:00:00,0.5,1,12.5,-6.5,14.089,0.56356,1.69695,6.25,0.84815,0.000326731,0.848477
03.LOGOS.T3.1600kVA,03.LOGOS.T3.1600kVA,2026-07-01 00:00:00,0.5,1,8.96,-3.2,9.51428,0.594643,1.19551,4.48,0.5975,0.00025676,0.597757
03.SENDAI.T1.1000kVA,03.SENDAI.T1.1000kVA,2026-07-01 00:00:00,0.5,1,180.6,42.2,185.465,18.5465,1.22698,90.3,0.462205,0.151287,0.613492
03.TAMAGAWA.T1.750kVA,03.TAMAGAWA.T1.750kVA,2026-07-01 00:00:00,0.5,1,67.52,21.6,70.8908,9.45211,0.963667,33.76,0.449,0.0328333,0.481833
03.TMD.3000kVA,03.TMD.3000kVA ( 0.2kV ),2026-07-01 00:00:00,0.0333333,1,51.84,0.64,51.844,1.72813,2.18593,1.728,0.0726667,0.000197563,0.0728642
PĐ.AMP.T1.1000kVA,PĐ.AMP.T1.1000kVA,2026-07-01 00:00:00,0.5,1,7.68,4.32,8.81163,0.881163,0.895659,3.84,0.4475,0.000329525,0.44783
PĐ.BQL.T1.75kVA,PĐ.BQL.T1.75kVA,2026-07-01 00:00:00,0.5,1,11.34,0.72,11.3628,15.1504,0.17553,5.67,0.077,0.0107652,0.0877652
TH.ACCELOTECH.T1.800kVA,TH.ACCELOTECH.T1.800kVA,2026-07-01 00:00:00,0.5,1,74.4,-2.4,74.4387,9.30484,0.888814,37.2,0.415,0.0294069,0.444407
TH.BAIYANG.T1.2500kVA,TH.BAIYANG.T1.2500kVA,2026-07-01 00:00:00,0.5,1,25.2,0.6,25.2071,1.00829,1.90047,12.6,0.94955,0.000686842,0.950237
TH.BEBRIGHT.T1.2500kVA,TH.BEBRIGHT.T1.2500kVA,2026-07-01 00:00:00,0.5,1,15,-4.2,15.5769,0.623076,1.8999,7.5,0.94955,0.000397932,0.949948
TH.BQL.T1.180kVA,TH.BQL.T1.180kVA,2026-07-01 00:00:00,0.5,1,16.8,-1.98,16.9163,9.39793,0.302333,8.4,0.1425,0.00866651,0.151167
TH.BQL.T2.160kVA,TH.BQL.T2.160kVA,2026-07-01 00:00:00,0.05,1,7.2,-1.24,7.306,4.56625,0.271793,0.36,0.0134,0.000189636,0.0135896
TH.SINHER.T1.1600kVA,TH.SINHER.T1.1600kVA,2026-07-01 00:00:00,0.5,1,12,-2.4,12.2376,0.764853,1.15477,6,0.577,0.000383058,0.577383
